City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,novodmitriyevskaya,44.8347,38.8772,299.11,64,52,1.47,RU,1718038310
83,avellaneda,-29.1176,-59.6583,300.26,50,7,2.33,AR,1718038310
84,portland,45.5234,-122.6762,291.13,69,75,2.24,US,1718038152
85,betong,5.7743,101.0723,296.28,97,100,0.92,TH,1718038311
86,whitehorse,60.7161,-135.0538,286.93,46,75,5.66,CA,1718038025
87,guerrero negro,27.9769,-114.0611,292.96,63,82,5.82,MX,1718038232
88,punta arenas,-53.15,-70.9167,275.21,93,75,0.51,CL,1718038312
89,iskateley,67.6803,53.1512,281.49,52,40,0.89,RU,1718038312
90,port mathurin,-19.6833,63.4167,297.47,82,11,9.58,MU,1718038045
91,puerto natales,-51.7236,-72.4875,275.4,93,75,1.03,CL,1718038313
92,west island,-12.1568,96.8225,298.14,94,40,3.6,CC,1718038034
93,hilo,19.7297,-155.09,299.97,95,100,3.09,US,1718038174
94,saipan,15.1355,145.701,300.54,94,40,6.17,MP,1718038140
95,st. john's,47.5649,-52.7093,288.81,91,100,9.26,CA,1718038295
96,madingou,-4.1536,13.55,301.06,55,55,0.85,CG,1718038315
97,queenstown,-31.8976,26.8753,284.08,40,0,2.82,ZA,1718038315
98,kalevala,65.2,31.1667,284.31,75,100,3.58,RU,1718038315
99,emerald,-23.5333,148.1667,283.9,54,0,4.36,AU,1718038229
100,bethel,41.3712,-73.414,295.87,56,75,2.06,US,1718038123
101,awjilah,29.1081,21.2869,309.54,9,0,3.65,LY,1718038316
102,saint-joseph,-21.3667,55.6167,295.36,80,40,6.03,RE,1718038190
103,bereznik,62.8551,42.7072,287.93,91,100,2.93,RU,1718038257
104,carnarvon,-24.8667,113.6333,294.31,68,89,6.05,AU,1718038234
105,puerto ayora,-0.7393,-90.3518,301.13,92,69,1.79,EC,1718038317
106,qaqortoq,60.7167,-46.0333,282.25,74,100,5.77,GL,1718038168
107,kolpashevo,58.3131,82.9089,288.21,75,11,0.45,RU,1718038318
108,bredasdorp,-34.5322,20.0403,288.01,69,41,1.76,ZA,1718038318
109,skagen,57.7209,10.5839,287.47,74,63,5.98,DK,1718038319
110,gusinoozyorsk,51.2833,106.5,285.31,88,62,2.51,RU,1718038319
111,utrik,11.2278,169.8474,301.42,76,71,8.78,MH,1718038319
112,borzya,50.3833,116.5167,290.62,42,100,3.0,RU,1718038320
113,uturoa,-16.7333,-151.4333,298.82,78,90,7.51,PF,1718038021
114,mukalla,14.5425,49.1242,306.38,55,20,3.42,YE,1718038308
115,georgetown,5.4112,100.3354,301.12,89,20,0.0,MY,1718038223
116,jamestown,42.097,-79.2353,287.92,84,100,5.66,US,1718038321
117,dabou,5.3256,-4.3769,300.17,83,96,5.38,CI,1718038244
118,novogrudok,53.6,25.8333,286.99,98,100,4.18,BY,1718038321
119,mandal,25.45,74.5667,307.42,31,100,8.67,IN,1718038322
120,brooks,50.5834,-111.8851,285.94,88,100,3.09,CA,1718038322
121,loves park,42.32,-89.0582,291.81,50,0,5.66,US,1718038322
122,don sak,9.3168,99.6918,300.31,76,100,4.53,TH,1718038323
123,yinchuan,38.4681,106.2731,299.88,21,56,3.45,CN,1718038323
124,hamilton,39.1834,-84.5333,293.48,64,100,6.69,US,1718038070
125,moose jaw,50.4001,-105.5344,283.3,93,100,8.23,CA,1718038241
126,amos,48.5669,-78.1162,283.94,61,100,5.01,CA,1718038324
127,ambon,-3.6954,128.1814,299.75,95,75,2.57,ID,1718038324
128,san salvador de jujuy,-24.1946,-65.2971,292.89,41,69,2.16,AR,1718038124
129,lingyuan,41.24,119.4011,293.12,56,100,2.02,CN,1718038325
