City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,277.0,80,100,1.54,CA,1717710182
83,sao vicente,-23.9631,-46.3919,299.25,70,40,2.24,BR,1717710078
84,cidreira,-30.1811,-50.2056,290.8,89,58,2.72,BR,1717710183
85,bardai,11.65,7.2333,299.64,66,100,6.88,NG,1717710183
86,touros,-5.1989,-35.4608,298.87,84,22,4.61,BR,1717709985
87,portland,45.5234,-122.6762,301.56,36,20,3.6,US,1717710122
88,avarua,-21.2078,-159.775,297.18,53,40,3.09,CK,1717710184
89,lensk,60.7253,114.9278,279.61,96,100,2.16,RU,1717709937
90,ambodifotatra,-16.9833,49.85,298.05,71,100,6.62,MG,1717710185
91,tura,25.5198,90.2201,296.57,93,55,1.23,IN,1717709904
92,surovikino,48.6078,42.8486,294.75,69,73,3.78,RU,1717710186
93,recani,31.2846,-4.2688,302.11,12,100,5.22,MA,1717710186
94,vila velha,-20.3297,-40.2925,295.12,88,75,1.03,BR,1717710186
95,hermanus,-34.4187,19.2345,285.82,90,90,3.74,ZA,1717710187
96,thompson,55.7435,-97.8558,278.24,93,100,4.63,CA,1717710187
97,lerwick,60.1545,-1.1494,282.15,76,100,9.53,GB,1717710017
98,al kharijah,25.4514,30.5464,305.0,14,0,3.77,EG,1717710188
99,tazacorte,28.629,-17.9293,294.69,93,20,1.03,ES,1717710188
100,georgetown,5.4112,100.3354,300.9,83,20,1.54,MY,1717709928
101,kralendijk,12.15,-68.2667,304.14,70,40,8.75,BQ,1717710187
102,kodiak,57.79,-152.4072,280.88,87,75,5.14,US,1717710189
103,aykhal,66.0,111.5,280.18,63,100,4.33,RU,1717709979
104,six-fours-les-plages,43.0938,5.84,295.61,76,66,1.24,FR,1717710189
105,ludington,43.9553,-86.4526,291.25,72,100,3.6,US,1717710177
106,masindi,1.6744,31.715,291.43,94,87,0.89,UG,1717710190
107,duba,27.3513,35.6901,303.88,49,0,2.62,SA,1717710190
108,puerto natales,-51.7236,-72.4875,273.4,100,75,1.03,CL,1717710191
109,port mathurin,-19.6833,63.4167,296.74,67,53,11.29,MU,1717710191
110,jalqani,12.4486,34.2186,304.84,44,2,7.0,SD,1717710191
111,olonkinbyen,70.9221,-8.7187,274.71,88,25,3.14,SJ,1717710192
112,jamestown,42.097,-79.2353,294.92,77,20,4.12,US,1717710192
113,grand forks,47.9417,-97.4337,294.11,41,100,11.32,US,1717710192
114,tazovsky,67.4667,78.7,272.21,83,100,4.61,RU,1717709968
115,port elizabeth,-33.918,25.5701,285.43,88,20,13.89,ZA,1717710193
116,north bend,43.4065,-124.2243,297.73,77,0,10.8,US,1717710050
117,vettavalam,12.1,79.25,299.47,80,100,1.26,IN,1717710194
118,bogale,16.2833,95.4,299.01,88,100,2.41,MM,1717710194
119,kidal,18.4411,1.4078,308.77,20,1,3.48,ML,1717710194
120,galax,36.6612,-80.924,298.79,76,100,3.6,US,1717709902
121,christchurch,-43.5333,172.6333,282.27,93,0,2.06,NZ,1717710046
122,kruisfontein,-34.0033,24.7314,284.2,85,100,12.63,ZA,1717710195
123,port lincoln,-34.7333,135.8667,284.92,79,4,1.68,AU,1717710196
124,hengchun,22.0042,120.7439,299.47,90,100,3.28,TW,1717710196
125,saipan,15.1355,145.701,301.54,78,40,7.72,MP,1717709989
126,ghadamis,30.1337,9.5007,301.86,21,0,6.62,LY,1717710197
127,bosaso,11.2842,49.1816,305.54,58,70,2.55,SO,1717710197
128,cabo san lucas,22.8909,-109.9124,306.82,27,0,4.12,MX,1717710014
129,chos malal,-37.3781,-70.2709,285.59,70,94,4.48,AR,1717710197
130,castillos,-34.1667,-53.8333,287.63,97,100,1.27,UY,1717710198
131,ixtapa,20.7,-105.2,301.72,65,20,7.2,MX,1717710198
132,la ronge,55.1001,-105.2842,284.29,62,100,9.26,CA,1717710199
133,holualoa,19.6228,-155.9522,300.68,74,20,4.12,US,1717710030
